u:�rea 1000\01-CVA1001\MOTOR CVA 1001\01-MOT-LOA-HOR;ch1;n:4095;d:0,400000005960464;eu:g;25/05/2022 09:34:33;s:
t[s];Y[g];
21,6000003218651;0,332236289978027;0;
22,0000003278255;0,416953891515732;0;
22,400000333786;0,172814145684242;0;
22,8000003397465;-0,286103755235672;0;
23,2000003457069;-0,314383119344711;0;
23,6000003516674;-0,0759048908948898;0;
24,0000003576279;0,10927727073431;0;
24,4000003635883;0,043201994150877;0;
24,8000003695488;-0,276163071393967;0;
25,2000003755093;-0,334367245435715;0;
25,6000003814697;-0,32884669303894;0;
26,0000003874302;-0,512815058231354;0;
26,4000003933907;-0,418671578168869;0;
26,8000003993511;-0,111006990075111;0;
27,2000004053116;0,0870797485113144;0;
27,600000411272;0,136635422706604;0;
28,0000004172325;0,125053003430367;0;
28,400000423193;0,20400957763195;0;
28,8000004291534;0,259092777967453;0;
29,2000004351139;0,216269358992577;0;
29,6000004410744;0,111208654940128;0;
30,0000004470348;-0,176400050520897;0;
30,4000004529953;-0,493427962064743;0;
30,8000004589558;-0,455884546041489;0;
31,2000004649162;-0,0590667612850666;0;
31,6000004708767;0,302419424057007;0;
32,0000004768372;0,305687576532364;0;
32,4000004827976;-0,0259686410427094;0;
32,8000004887581;-0,337579190731049;0;
33,2000004947186;-0,361784607172012;0;
33,600000500679;-0,206988289952278;0;
34,0000005066395;-0,00553063815459609;0;
34,4000005125999;0,0828987061977386;0;
34,8000005185604;-0,0867473930120468;0;
35,2000005245209;-0,36989364027977;0;
35,6000005304813;-0,492082923650742;0;
36,0000005364418;-0,181455880403519;0;
36,4000005424023;0,241734012961388;0;
36,8000005483627;0,165530622005463;0;
37,2000005543232;-0,0919515192508698;0;
37,6000005602837;-0,102500580251217;0;
38,0000005662441;-0,00834778789430857;0;
38,4000005722046;0,224745392799377;0;
38,8000005781651;0,553684234619141;0;
39,2000005841255;0,63216894865036;0;
39,600000590086;0,330673038959503;0;
40,0000005960464;-0,148134365677834;0;
40,4000006020069;-0,489623069763184;0;
40,8000006079674;-0,414645284414291;0;
41,2000006139278;0,035314105451107;0;
41,6000006198883;0,410067319869995;0;
42,0000006258488;0,410617917776108;0;
42,4000006318092;0,0237184222787619;0;
42,8000006377697;-0,433814734220505;0;
43,2000006437302;-0,389357060194016;0;
43,6000006496906;-0,0288437660783529;0;
44,0000006556511;0,0772752985358238;0;
44,4000006616116;-0,0779770240187645;0;
44,800000667572;-0,343876004219055;0;
45,2000006735325;-0,443723291158676;0;
45,600000679493;-0,252867072820663;0;
46,0000006854534;-0,126718372106552;0;
46,4000006914139;-0,239511117339134;0;
46,8000006973743;-0,438931852579117;0;
47,2000007033348;-0,442429512739182;0;
47,6000007092953;-0,159226417541504;0;
48,0000007152557;0,0314819850027561;0;
48,4000007212162;-0,102836154401302;0;
48,8000007271767;-0,280986189842224;0;
49,2000007331371;-0,233427360653877;0;
49,6000007390976;-0,13815176486969;0;
50,0000007450581;-0,222606465220451;0;
50,4000007510185;-0,36682453751564;0;
50,800000756979;-0,382908314466476;0;
51,2000007629395;-0,128860339522362;0;
51,6000007688999;0,230601593852043;0;
52,0000007748604;0,202792912721634;0;
52,4000007808208;-0,171960532665253;0;
52,8000007867813;-0,322592616081238;0;
53,2000007927418;-0,00860229227691889;0;
53,6000007987022;0,352656990289688;0;
54,0000008046627;0,196136727929115;0;
54,4000008106232;-0,239205822348595;0;
54,8000008165836;-0,303859710693359;0;
55,2000008225441;-0,101700067520142;0;
55,6000008285046;0,0517480932176113;0;
56,000000834465;0,174863278865814;0;
56,4000008404255;0,0323337242007256;0;
56,800000846386;-0,313285022974014;0;
57,2000008523464;-0,256762057542801;0;
57,6000008583069;0,0653393566608429;0;
58,0000008642673;0,0303778536617756;0;
58,4000008702278;-0,188077613711357;0;
58,8000008761883;0,0379140935838223;0;
59,2000008821487;0,626394867897034;0;
59,6000008881092;0,792190670967102;0;
60,0000008940697;0,306060522794724;0;
60,4000009000301;-0,282940834760666;0;
60,8000009059906;-0,49248942732811;0;
61,2000009119511;-0,230723187327385;0;
61,6000009179115;0,0332849286496639;0;
62,000000923872;-0,12361653149128;0;
62,4000009298325;-0,354732602834702;0;
62,8000009357929;-0,306708097457886;0;
63,2000009417534;-0,155458211898804;0;
63,6000009477139;-0,120986938476563;0;
64,0000009536743;-0,141861721873283;0;
64,4000009596348;-0,0970397815108299;0;
64,8000009655952;-0,0387647561728954;0;
65,2000009715557;-0,0599895715713501;0;
65,6000009775162;-0,215174555778503;0;
66,0000009834766;-0,312329649925232;0;
66,4000009894371;-0,126172691583633;0;
66,8000009953976;0,0543550662696362;0;
67,200001001358;0,0453012250363827;0;
67,6000010073185;0,0379419885575771;0;
68,000001013279;-0,0399108864367008;0;
68,4000010192394;-0,141026675701141;0;
68,8000010251999;0,121763408184052;0;
69,2000010311604;0,550361335277557;0;
69,6000010371208;0,493507146835327;0;
70,0000010430813;0,106697157025337;0;
70,4000010490417;-0,0343415997922421;0;
70,8000010550022;0,017997158691287;0;
71,2000010609627;0,11878814548254;0;
71,6000010669231;0,156871899962425;0;
72,0000010728836;-0,0950034484267235;0;
72,4000010788441;-0,287076145410538;0;
72,8000010848045;-0,0779549852013588;0;
73,200001090765;0,153816625475883;0;
73,6000010967255;0,0879757702350616;0;
74,0000011026859;-0,193170264363289;0;
74,4000011086464;-0,452974855899811;0;
74,8000011146069;-0,521189391613007;0;
75,2000011205673;-0,523073613643646;0;
75,6000011265278;-0,434061765670776;0;
76,0000011324883;-0,0058011063374579;0;
76,4000011384487;0,419761747121811;0;
76,8000011444092;0,375695794820786;0;
77,2000011503696;0,145489081740379;0;
77,6000011563301;-0,0168274790048599;0;
78,0000011622906;-0,226373940706253;0;
78,400001168251;-0,184394627809525;0;
78,8000011742115;0,297531694173813;0;
79,200001180172;0,463553488254547;0;
79,6000011861324;0,338405162096024;0;
80,0000011920929;1,42574036121368;0;
80,4000011980534;3,19320940971375;0;
80,8000012040138;3,04901194572449;0;
81,2000012099743;1,09433305263519;0;
81,6000012159348;-0,211655497550964;0;
82,0000012218952;-0,00711022829636931;0;
82,4000012278557;0,627174317836761;0;
82,8000012338161;0,755820751190186;0;
